kind,routeKey,floor,geometryId,pointsBefore,pointsAfter,pointsRemoved,turnsBefore,turnsAfter,turnsRemoved,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter
sameFloor,挂号缴费|||急诊科,1楼,G0068,20,8,12,2,2,0,51.375146,51.375146,20.197,20.197
sameFloor,挂号缴费|||消控室,1楼,G0073,15,14,1,1,1,0,69.104422,69.104422,20.197,20.197
sameFloor,挂号缴费|||西药房,1楼,G0052,42,7,35,0,0,0,23.600017,23.600017,20.378,20.378
sameFloor,放射科|||儿科门诊,1楼,G0060,22,10,12,5,5,0,59.050752,59.050752,20.397,20.397
sameFloor,放射科|||消控室,1楼,G0075,20,12,8,0,0,0,28.106763,28.106763,20.197,20.197
sameFloor,消控室|||中药房,1楼,G0054,12,11,1,1,1,0,51.842001,51.842001,20.197,20.197
sameFloor,消控室|||儿科门诊,1楼,G0061,28,16,12,3,3,0,87.243351,87.243351,20.375,20.375
sameFloor,消控室|||急诊科,1楼,G0070,18,7,11,2,2,0,62.596118,62.596118,20.375,20.375
sameFloor,消控室|||挂号缴费,1楼,G0073,15,14,1,1,1,0,69.104422,69.104422,20.197,20.197
sameFloor,消控室|||放射科,1楼,G0075,20,12,8,0,0,0,28.106763,28.106763,20.197,20.197
sameFloor,消控室|||西药房,1楼,G0054,12,11,1,1,1,0,51.842001,51.842001,20.197,20.197
sameFloor,消控室|||输液室,1楼,G0077,10,9,1,0,0,0,60.479725,60.479725,20.197,20.197
sameFloor,西药房|||儿科门诊,1楼,G0049,25,8,17,1,1,0,41.555153,41.555153,20.772,20.772
sameFloor,西药房|||大伤门诊,1楼,G0050,10,9,1,1,1,0,46.154669,46.154669,20.591,20.591
sameFloor,西药房|||挂号缴费,1楼,G0052,42,7,35,0,0,0,23.600017,23.600017,20.378,20.378
sameFloor,西药房|||消控室,1楼,G0054,12,11,1,1,1,0,51.842001,51.842001,20.197,20.197
sameFloor,输液室|||急诊科,1楼,G0071,29,7,22,2,2,0,37.039136,37.039136,20.197,20.197
sameFloor,输液室|||消控室,1楼,G0077,10,9,1,0,0,0,60.479725,60.479725,20.197,20.197
floorNav,伤口门诊|||S6|||fromElevator,2楼,G0089,16,4,12,0,0,0,27.157181,27.157181,20.984,20.984
floorNav,伤口门诊|||S6|||toElevator,2楼,G0089,16,4,12,0,0,0,27.157181,27.157181,20.984,20.984
